id,استان,شهرستان,جمع,مرد,زن,شهری,روستایی
07,يزد,ابركوه, 54.3 , 27.8 , 26.5 , 39.3 , 14.9 
01,زنجان,ابهر, 160.6 , 81.2 , 79.4 , 136.0 , 24.6 
01,هرمزگان,ابوموسي, 8.1 , 6.4 , 1.7 , 4.6 , 3.4 
01,مرکزي,اراک, 603.2 , 305.3 , 297.8 , 539.7 , 63.5 
01,اردبيل,اردبيل, 639.6 , 324.7 , 314.9 , 571.9 , 67.7 
01,اصفهان,اردستان, 42.2 , 21.4 , 20.8 , 28.3 , 13.9 
01,يزد,اردكان, 115.5 , 62.7 , 52.9 , 101.5 , 14.0 
05,چهارمحال وبختياري,اردل, 46.3 , 23.4 , 22.9 , 21.0 , 25.4 
23,كرمان,ارزوئيه, 34.0 , 17.1 , 16.9 , 7.1 , 26.9 
17,فارس,ارسنجان, 44.2 , 22.4 , 21.8 , 17.6 , 26.6 
01,آذربايجان غربي,اروميه," 1,109.2 ", 560.0 , 549.2 , 794.3 , 314.8 
07,لرستان,ازنا, 77.3 , 39.2 , 38.1 , 51.4 , 25.9 
02,فارس,استهبان, 71.0 , 35.9 , 35.2 , 49.7 , 21.3 
06,همدان,اسدآباد, 98.0 , 49.0 , 49.0 , 59.1 , 39.0 
01,خراسان شمالي,اسفراين, 118.3 , 59.8 , 58.5 , 64.2 , 54.1 
22,آذربايجان شرقي,اسکو, 163.6 , 82.7 , 80.9 , 122.1 , 41.5 
01,کرمانشاه,اسلام آبادغرب, 134.2 , 67.9 , 66.4 , 92.3 , 42.0 
10,تهران,اسلامشهر, 592.5 , 300.9 , 291.6 , 556.2 , 36.3 
05,البرز,اشتهارد, 41.9 , 21.1 , 20.8 , 35.0 , 6.9 
08,يزد,اشکذر, 35.0 , 18.4 , 16.6 , 21.9 , 13.1 
13,آذربايجان غربي,اشنويه, 77.7 , 38.7 , 39.0 , 45.1 , 32.6 
02,اصفهان,اصفهان," 2,178.7 "," 1,097.9 "," 1,080.9 "," 2,102.8 ", 75.9 
11,اردبيل,اصلاندوز, 37.0 , 19.6 , 17.4 , 6.9 , 30.1 
03,فارس,اقليد, 93.8 , 47.2 , 46.5 , 56.9 , 36.9 
05,قزوين,البرز,269.4,136.6,132.8,241.4,28.0
01,لرستان,اليگودرز, 137.4 , 70.3 , 67.1 , 96.3 , 41.1 
13,گيلان,املش, 42.0 , 20.9 , 21.1 , 18.1 , 23.9 
16,خوزستان,اميديه, 99.5 , 50.4 , 49.1 , 77.4 , 22.1 
20,كرمان,انار, 36.5 , 18.8 , 17.7 , 20.6 , 15.9 
21,خوزستان,انديکا, 44.6 , 22.4 , 22.3 , 4.6 , 40.0 
02,خوزستان,انديمشک, 178.5 , 90.9 , 87.7 , 159.9 , 18.7 
12,اردبيل,انگوت, 19.4 , 9.9 , 9.4 , 2.9 , 16.5 
02,آذربايجان شرقي,اهر, 136.5 , 68.7 , 67.8 , 103.8 , 32.7 
03,خوزستان,اهواز," 1,420.1 ", 717.1 , 703.0 ," 1,347.2 ", 72.9 
36,فارس,اوز, 38.2 , 19.0 , 19.2 , 20.7 , 17.4 
06,زنجان,ايجرود, 36.2 , 18.3 , 17.9 , 3.3 , 33.0 
04,خوزستان,ايذه, 180.0 , 90.1 , 89.9 , 124.8 , 55.2 
01,سيستان وبلوچستان,ايرانشهر, 227.2 , 115.0 , 112.3 , 145.3 , 82.0 
01,ايلام,ايلام, 240.1 , 121.6 , 118.5 , 210.7 , 29.4 
07,ايلام,ايوان, 49.6 , 24.9 , 24.7 , 35.2 , 14.3 
01,خوزستان,آبادان, 322.8 , 162.0 , 160.8 , 272.1 , 50.7 
01,فارس,آباده, 103.2 , 52.1 , 51.1 , 90.7 , 12.5 
06,ايلام,آبدانان, 48.3 , 24.5 , 23.7 , 31.1 , 17.2 
04,قزوين,آبيك,99.5,51.4,48.1,77.3,22.2
21,آذربايجان شرقي,آذرشهر, 114.5 , 57.8 , 56.7 , 76.7 , 37.7 
06,سمنان,آرادان, 12.9 , 6.5 , 6.4 , 7.7 , 5.2 
18,اصفهان,آران وبيدگل, 109.2 , 55.4 , 53.8 , 95.7 , 13.6 
10,گلستان,آزادشهر, 102.5 , 51.1 , 51.4 , 60.2 , 42.3 
01,گيلان,آستارا, 94.2 , 47.0 , 47.2 , 66.1 , 28.1 
02,گيلان,آستانه اشرفيه, 109.2 , 54.5 , 54.8 , 62.8 , 46.5 
